primary_domain,sd_rewrite_rule,is_https
theintercept.com,theintercept.securedrop.tor.onion
www.theguardian.com,theguardian.securedrop.tor.onion
www.abc.net.au,abc.au.securedrop.tor.onion
www.hmdc.harvard.edu,iqss.harvard.securedrop.tor.onion
espenandersen.no,espena.securedrop.tor.onion
www.nytimes.com,nytimes.securedrop.tor.onion,yes
techcrunch.com,techcrunch.securedrop.tor.onion
stefaniamaurizi.it,maurizi.securedrop.tor.onion
www.forbes.com,forbes.securedrop.tor.onion
www.thestar.com,torontostar.securedrop.tor.onion
tcfmailvault.info,bartongellman.securedrop.tor.onion
www.apache.be,apache.securedrop.tor.onion
www.2600.com,2600.securedrop.tor.onion
www.washingtonpost.com,washingtonpost.securedrop.tor.onion,yes
www.bloomberg.com,bloomberg.securedrop.tor.onion
www.aftonbladet.se,aftonbladet.securedrop.tor.onion
www.aftenposten.no,aftenposten.securedrop.tor.onion
www.sfchronicle.com,sfchronicle.securedrop.tor.onion
whistlebloweraid.org,whistlebloweraid.securedrop.tor.onion
sec.theglobeandmail.com,theglobeandmail.securedrop.tor.onion
www.nrk.no,nrk.securedrop.tor.onion
img.huffingtonpost.com,huffpost.securedrop.tor.onion
forbiddenstories.org,forbiddenstories.securedrop.tor.onion
webapps.aljazeera.net,ajiunit.securedrop.tor.onion
www.ft.com,ft.securedrop.tor.onion
apps.publicintegrity.org,publicintegrity.securedrop.tor.onion
news.bloomberglaw.com,bloomberglaw.securedrop.tor.onion
www.cnn.com,cnn.securedrop.tor.onion
propublica.org,propublica.securedrop.tor.onion
www.cbc.ca,cbcrc.securedrop.tor.onion
www.politico.com,politico.securedrop.tor.onion
tv2.dk,tv2.dk.securedrop.tor.onion
aftenbladet.no,aftenbladet.securedrop.tor.onion
www.sueddeutsche.de,sueddeutsche.securedrop.tor.onion
noyb.eu,noyb.securedrop.tor.onion
news.bloomberglaw.com,bloombergindustrygroup.securedrop.tor.onion
www.ktipp.ch,ktipp.securedrop.tor.onion
taz.de,taz.securedrop.tor.onion
disclose.ngo,disclose.securedrop.tor.onion
www.dr.dk,dr.securedrop.tor.onion
